"","ID","Block","genotype","antibiotics","exposure","Condition","time","outcome"
"63","3_Orange_no_antibiotics_disease",3,"Orange","no_antibiotics","disease","H",21,0
"64","3_Pink_no_antibiotics_disease",3,"Pink","no_antibiotics","disease","H",21,0
"65","3_Purple_no_antibiotics_disease",3,"Purple","no_antibiotics","disease","H",21,0
"66","3_Red_no_antibiotics_disease",3,"Red","no_antibiotics","disease","H",21,0
"67","3_Yellow_no_antibiotics_disease",3,"Yellow","no_antibiotics","disease","H",21,0
"68","4_Black_no_antibiotics_disease",4,"Black","no_antibiotics","disease","H",21,0
"69","4_Blue_no_antibiotics_disease",4,"Blue","no_antibiotics","disease","H",21,0
"70","4_Green_no_antibiotics_disease",4,"Green","no_antibiotics","disease","H",21,0
"71","4_Grey_no_antibiotics_disease",4,"Grey","no_antibiotics","disease","H",21,0
"72","4_Neon_no_antibiotics_disease",4,"Neon","no_antibiotics","disease","H",21,0
"73","4_Orange_no_antibiotics_disease",4,"Orange","no_antibiotics","disease","H",21,0
"74","4_Pink_no_antibiotics_disease",4,"Pink","no_antibiotics","disease","H",21,0
"75","4_Purple_no_antibiotics_disease",4,"Purple","no_antibiotics","disease","H",21,0
"76","4_Red_no_antibiotics_disease",4,"Red","no_antibiotics","disease","H",21,0
"77","4_Yellow_no_antibiotics_disease",4,"Yellow","no_antibiotics","disease","H",21,0
"78","5_Black_no_antibiotics_disease",5,"Black","no_antibiotics","disease","H",21,0
"79","5_Blue_no_antibiotics_disease",5,"Blue","no_antibiotics","disease","WBD",21,0
"80","5_Green_no_antibiotics_disease",5,"Green","no_antibiotics","disease","H",21,1
"81","5_Grey_no_antibiotics_disease",5,"Grey","no_antibiotics","disease","WBD",21,0
"82","5_Neon_no_antibiotics_disease",5,"Neon","no_antibiotics","disease","H",21,0
"83","5_Orange_no_antibiotics_disease",5,"Orange","no_antibiotics","disease","WBD",21,0
"84","5_Pink_no_antibiotics_disease",5,"Pink","no_antibiotics","disease","H",21,0
"85","5_Purple_no_antibiotics_disease",5,"Purple","no_antibiotics","disease","H",21,0
"86","5_Red_no_antibiotics_disease",5,"Red","no_antibiotics","disease","WBD",21,0
"87","5_Yellow_no_antibiotics_disease",5,"Yellow","no_antibiotics","disease","H",21,0
"88","1_Black_plus_antibiotics_healthy",1,"Black","plus_antibiotics","healthy","H",21,0
"89","1_Blue_plus_antibiotics_healthy",1,"Blue","plus_antibiotics","healthy","H",21,0
"90","1_Green_plus_antibiotics_healthy",1,"Green","plus_antibiotics","healthy","H",21,0
"91","1_Grey_plus_antibiotics_healthy",1,"Grey","plus_antibiotics","healthy","H",21,0
"92","1_Neon_plus_antibiotics_healthy",1,"Neon","plus_antibiotics","healthy","H",21,0
"93","1_Orange_plus_antibiotics_healthy",1,"Orange","plus_antibiotics","healthy","H",21,0
"94","1_Pink_plus_antibiotics_healthy",1,"Pink","plus_antibiotics","healthy","H",21,0
"95","1_Purple_plus_antibiotics_healthy",1,"Purple","plus_antibiotics","healthy","H",21,0
"96","1_Red_plus_antibiotics_healthy",1,"Red","plus_antibiotics","healthy","H",21,0
"97","1_Yellow_plus_antibiotics_healthy",1,"Yellow","plus_antibiotics","healthy","H",21,0
"98","2_Black_plus_antibiotics_healthy",2,"Black","plus_antibiotics","healthy","H",21,0
"99","2_Blue_plus_antibiotics_healthy",2,"Blue","plus_antibiotics","healthy","H",21,0
"100","2_Green_plus_antibiotics_healthy",2,"Green","plus_antibiotics","healthy","H",21,0
"101","2_Grey_plus_antibiotics_healthy",2,"Grey","plus_antibiotics","healthy","H",21,0
"102","2_Neon_plus_antibiotics_healthy",2,"Neon","plus_antibiotics","healthy","H",21,0
"103","2_Orange_plus_antibiotics_healthy",2,"Orange","plus_antibiotics","healthy","H",21,0
"104","2_Pink_plus_antibiotics_healthy",2,"Pink","plus_antibiotics","healthy","H",21,0
"105","2_Purple_plus_antibiotics_healthy",2,"Purple","plus_antibiotics","healthy","H",21,0
"106","2_Red_plus_antibiotics_healthy",2,"Red","plus_antibiotics","healthy","H",21,0
"107","2_Yellow_plus_antibiotics_healthy",2,"Yellow","plus_antibiotics","healthy","H",21,0
"108","3_Black_plus_antibiotics_healthy",3,"Black","plus_antibiotics","healthy","H",21,0
"109","3_Blue_plus_antibiotics_healthy",3,"Blue","plus_antibiotics","healthy","H",21,0
"110","3_Green_plus_antibiotics_healthy",3,"Green","plus_antibiotics","healthy","H",21,0
"111","3_Grey_plus_antibiotics_healthy",3,"Grey","plus_antibiotics","healthy","H",21,0
"112","3_Neon_plus_antibiotics_healthy",3,"Neon","plus_antibiotics","healthy","H",21,0
"113","3_Orange_plus_antibiotics_healthy",3,"Orange","plus_antibiotics","healthy","H",21,0
"114","3_Pink_plus_antibiotics_healthy",3,"Pink","plus_antibiotics","healthy","H",21,0
"115","3_Purple_plus_antibiotics_healthy",3,"Purple","plus_antibiotics","healthy","H",21,0
"116","3_Red_plus_antibiotics_healthy",3,"Red","plus_antibiotics","healthy","H",21,0
"117","3_Yellow_plus_antibiotics_healthy",3,"Yellow","plus_antibiotics","healthy","H",21,0
"118","4_Black_plus_antibiotics_healthy",4,"Black","plus_antibiotics","healthy","H",21,0
"119","4_Blue_plus_antibiotics_healthy",4,"Blue","plus_antibiotics","healthy","H",21,0
"120","4_Green_plus_antibiotics_healthy",4,"Green","plus_antibiotics","healthy","H",21,0
"121","4_Grey_plus_antibiotics_healthy",4,"Grey","plus_antibiotics","healthy","H",21,0
"122","4_Neon_plus_antibiotics_healthy",4,"Neon","plus_antibiotics","healthy","H",21,0
"123","4_Orange_plus_antibiotics_healthy",4,"Orange","plus_antibiotics","healthy","H",21,0
"124","4_Pink_plus_antibiotics_healthy",4,"Pink","plus_antibiotics","healthy","H",21,0
"125","4_Purple_plus_antibiotics_healthy",4,"Purple","plus_antibiotics","healthy","H",21,0
"126","4_Red_plus_antibiotics_healthy",4,"Red","plus_antibiotics","healthy","H",21,0
"127","4_Yellow_plus_antibiotics_healthy",4,"Yellow","plus_antibiotics","healthy","H",21,0
"128","5_Black_plus_antibiotics_healthy",5,"Black","plus_antibiotics","healthy","H",21,0
"129","5_Blue_plus_antibiotics_healthy",5,"Blue","plus_antibiotics","healthy","H",21,0
"130","5_Green_plus_antibiotics_healthy",5,"Green","plus_antibiotics","healthy","H",21,0
"131","5_Grey_plus_antibiotics_healthy",5,"Grey","plus_antibiotics","healthy","H",21,0
"132","5_Neon_plus_antibiotics_healthy",5,"Neon","plus_antibiotics","healthy","H",21,0
"133","5_Orange_plus_antibiotics_healthy",5,"Orange","plus_antibiotics","healthy","H",21,0
"134","5_Pink_plus_antibiotics_healthy",5,"Pink","plus_antibiotics","healthy","H",21,0
"135","5_Purple_plus_antibiotics_healthy",5,"Purple","plus_antibiotics","healthy","H",21,0
"136","5_Red_plus_antibiotics_healthy",5,"Red","plus_antibiotics","healthy","H",21,0
"137","5_Yellow_plus_antibiotics_healthy",5,"Yellow","plus_antibiotics","healthy","H",21,0
"138","1_Black_plus_antibiotics_disease",1,"Black","plus_antibiotics","disease","H",21,0
"139","1_Blue_plus_antibiotics_disease",1,"Blue","plus_antibiotics","disease","H",21,0
"140","1_Green_plus_antibiotics_disease",1,"Green","plus_antibiotics","disease","H",21,0
"141","1_Grey_plus_antibiotics_disease",1,"Grey","plus_antibiotics","disease","H",21,0
"142","1_Neon_plus_antibiotics_disease",1,"Neon","plus_antibiotics","disease","H",21,0
"143","1_Orange_plus_antibiotics_disease",1,"Orange","plus_antibiotics","disease","H",21,0
"144","1_Pink_plus_antibiotics_disease",1,"Pink","plus_antibiotics","disease","H",21,0
"145","1_Purple_plus_antibiotics_disease",1,"Purple","plus_antibiotics","disease","H",21,0
"146","1_Red_plus_antibiotics_disease",1,"Red","plus_antibiotics","disease","H",21,0
"147","1_Yellow_plus_antibiotics_disease",1,"Yellow","plus_antibiotics","disease","H",21,0
"148","2_Black_plus_antibiotics_disease",2,"Black","plus_antibiotics","disease","H",21,0
"149","2_Blue_plus_antibiotics_disease",2,"Blue","plus_antibiotics","disease","H",21,0
"150","2_Green_plus_antibiotics_disease",2,"Green","plus_antibiotics","disease","H",21,0
"151","2_Grey_plus_antibiotics_disease",2,"Grey","plus_antibiotics","disease","H",21,0
"152","2_Neon_plus_antibiotics_disease",2,"Neon","plus_antibiotics","disease","H",21,0
"153","2_Orange_plus_antibiotics_disease",2,"Orange","plus_antibiotics","disease","H",21,0
"154","2_Pink_plus_antibiotics_disease",2,"Pink","plus_antibiotics","disease","H",21,0
"155","2_Purple_plus_antibiotics_disease",2,"Purple","plus_antibiotics","disease","H",21,0
"156","2_Red_plus_antibiotics_disease",2,"Red","plus_antibiotics","disease","H",21,0
"157","2_Yellow_plus_antibiotics_disease",2,"Yellow","plus_antibiotics","disease","H",21,0
"158","3_Black_plus_antibiotics_disease",3,"Black","plus_antibiotics","disease","H",21,0
"159","3_Blue_plus_antibiotics_disease",3,"Blue","plus_antibiotics","disease","H",21,0
"160","3_Green_plus_antibiotics_disease",3,"Green","plus_antibiotics","disease","H",21,0
"161","3_Grey_plus_antibiotics_disease",3,"Grey","plus_antibiotics","disease","H",21,0
"162","3_Neon_plus_antibiotics_disease",3,"Neon","plus_antibiotics","disease","H",21,0
"163","3_Orange_plus_antibiotics_disease",3,"Orange","plus_antibiotics","disease","H",21,0
"164","3_Pink_plus_antibiotics_disease",3,"Pink","plus_antibiotics","disease","H",21,0
"165","3_Purple_plus_antibiotics_disease",3,"Purple","plus_antibiotics","disease","H",21,0
"166","3_Red_plus_antibiotics_disease",3,"Red","plus_antibiotics","disease","H",21,0
"167","3_Yellow_plus_antibiotics_disease",3,"Yellow","plus_antibiotics","disease","WBD",21,0
"168","4_Black_plus_antibiotics_disease",4,"Black","plus_antibiotics","disease","H",21,0
"169","4_Blue_plus_antibiotics_disease",4,"Blue","plus_antibiotics","disease","H",21,0
"170","4_Green_plus_antibiotics_disease",4,"Green","plus_antibiotics","disease","H",21,0
"171","4_Grey_plus_antibiotics_disease",4,"Grey","plus_antibiotics","disease","H",21,0
"172","4_Neon_plus_antibiotics_disease",4,"Neon","plus_antibiotics","disease","H",21,0
"173","4_Orange_plus_antibiotics_disease",4,"Orange","plus_antibiotics","disease","WBD",21,0
"174","4_Pink_plus_antibiotics_disease",4,"Pink","plus_antibiotics","disease","H",21,0
"175","4_Purple_plus_antibiotics_disease",4,"Purple","plus_antibiotics","disease","H",21,0
"176","4_Red_plus_antibiotics_disease",4,"Red","plus_antibiotics","disease","H",21,0
"177","4_Yellow_plus_antibiotics_disease",4,"Yellow","plus_antibiotics","disease","WBD",21,0
"178","5_Black_plus_antibiotics_disease",5,"Black","plus_antibiotics","disease","H",21,0
"179","5_Blue_plus_antibiotics_disease",5,"Blue","plus_antibiotics","disease","H",21,0
"180","5_Green_plus_antibiotics_disease",5,"Green","plus_antibiotics","disease","H",21,0
"181","5_Grey_plus_antibiotics_disease",5,"Grey","plus_antibiotics","disease","H",21,0
"182","5_Neon_plus_antibiotics_disease",5,"Neon","plus_antibiotics","disease","H",21,0
"183","5_Orange_plus_antibiotics_disease",5,"Orange","plus_antibiotics","disease","H",21,0
"184","5_Pink_plus_antibiotics_disease",5,"Pink","plus_antibiotics","disease","H",21,0
"185","5_Purple_plus_antibiotics_disease",5,"Purple","plus_antibiotics","disease","H",21,0
"186","5_Red_plus_antibiotics_disease",5,"Red","plus_antibiotics","disease","WBD",21,0
"187","5_Yellow_plus_antibiotics_disease",5,"Yellow","plus_antibiotics","disease","H",21,0
"188","2_Black_no_antibiotics_healthy",2,"Black","no_antibiotics","healthy","H",30,0
"189","2_Blue_no_antibiotics_healthy",2,"Blue","no_antibiotics","healthy","H",30,0
"190","2_Green_no_antibiotics_healthy",2,"Green","no_antibiotics","healthy","WBD",30,0
"191","2_Grey_no_antibiotics_healthy",2,"Grey","no_antibiotics","healthy","H",30,0
"192","2_Neon_no_antibiotics_healthy",2,"Neon","no_antibiotics","healthy","H",30,0
"193","2_Orange_no_antibiotics_healthy",2,"Orange","no_antibiotics","healthy","H",30,0
"194","2_Pink_no_antibiotics_healthy",2,"Pink","no_antibiotics","healthy","H",30,0
"195","2_Purple_no_antibiotics_healthy",2,"Purple","no_antibiotics","healthy","H",30,0
"196","2_Red_no_antibiotics_healthy",2,"Red","no_antibiotics","healthy","H",30,0
"197","2_Yellow_no_antibiotics_healthy",2,"Yellow","no_antibiotics","healthy","H",30,0
"198","3_Black_no_antibiotics_healthy",3,"Black","no_antibiotics","healthy","H",30,0
"199","3_Blue_no_antibiotics_healthy",3,"Blue","no_antibiotics","healthy","H",30,0
"200","3_Grey_no_antibiotics_healthy",3,"Grey","no_antibiotics","healthy","H",30,0
"201","3_Neon_no_antibiotics_healthy",3,"Neon","no_antibiotics","healthy","H",30,0
"202","3_Pink_no_antibiotics_healthy",3,"Pink","no_antibiotics","healthy","H",30,0
"203","3_Purple_no_antibiotics_healthy",3,"Purple","no_antibiotics","healthy","WBD",30,0
"204","3_Red_no_antibiotics_healthy",3,"Red","no_antibiotics","healthy","H",30,0
"205","4_Black_no_antibiotics_healthy",4,"Black","no_antibiotics","healthy","H",30,0
"206","4_Blue_no_antibiotics_healthy",4,"Blue","no_antibiotics","healthy","H",30,0
"207","4_Green_no_antibiotics_healthy",4,"Green","no_antibiotics","healthy","H",30,0
"208","4_Grey_no_antibiotics_healthy",4,"Grey","no_antibiotics","healthy","H",30,0
"209","4_Neon_no_antibiotics_healthy",4,"Neon","no_antibiotics","healthy","H",30,0
"210","4_Orange_no_antibiotics_healthy",4,"Orange","no_antibiotics","healthy","H",30,0
"211","4_Pink_no_antibiotics_healthy",4,"Pink","no_antibiotics","healthy","H",30,0
"212","4_Purple_no_antibiotics_healthy",4,"Purple","no_antibiotics","healthy","H",30,0
"213","4_Red_no_antibiotics_healthy",4,"Red","no_antibiotics","healthy","H",30,0
"214","4_Yellow_no_antibiotics_healthy",4,"Yellow","no_antibiotics","healthy","H",30,0
"215","5_Black_no_antibiotics_healthy",5,"Black","no_antibiotics","healthy","H",30,0
"216","5_Blue_no_antibiotics_healthy",5,"Blue","no_antibiotics","healthy","H",30,0
"217","5_Green_no_antibiotics_healthy",5,"Green","no_antibiotics","healthy","H",30,0
"218","5_Grey_no_antibiotics_healthy",5,"Grey","no_antibiotics","healthy","H",30,0
"219","5_Neon_no_antibiotics_healthy",5,"Neon","no_antibiotics","healthy","H",30,0
"220","5_Orange_no_antibiotics_healthy",5,"Orange","no_antibiotics","healthy","H",30,0
"221","5_Pink_no_antibiotics_healthy",5,"Pink","no_antibiotics","healthy","H",30,0
"222","5_Purple_no_antibiotics_healthy",5,"Purple","no_antibiotics","healthy","H",30,0
"223","5_Red_no_antibiotics_healthy",5,"Red","no_antibiotics","healthy","H",30,0
"224","5_Yellow_no_antibiotics_healthy",5,"Yellow","no_antibiotics","healthy","H",30,0
"225","1_Black_no_antibiotics_disease",1,"Black","no_antibiotics","disease","H",30,0
"226","1_Blue_no_antibiotics_disease",1,"Blue","no_antibiotics","disease","H",30,0
"227","1_Green_no_antibiotics_disease",1,"Green","no_antibiotics","disease","WBD",30,0
"228","1_Grey_no_antibiotics_disease",1,"Grey","no_antibiotics","disease","WBD",30,0
"229","1_Neon_no_antibiotics_disease",1,"Neon","no_antibiotics","disease","WBD",30,0
"230","1_Orange_no_antibiotics_disease",1,"Orange","no_antibiotics","disease","WBD",30,0
"231","1_Pink_no_antibiotics_disease",1,"Pink","no_antibiotics","disease","H",30,0
"232","1_Purple_no_antibiotics_disease",1,"Purple","no_antibiotics","disease","H",30,0
"233","1_Red_no_antibiotics_disease",1,"Red","no_antibiotics","disease","WBD",30,0
"234","1_Yellow_no_antibiotics_disease",1,"Yellow","no_antibiotics","disease","WBD",30,0
"235","2_Black_no_antibiotics_disease",2,"Black","no_antibiotics","disease","H",30,0
"236","2_Blue_no_antibiotics_disease",2,"Blue","no_antibiotics","disease","H",30,0
"237","2_Green_no_antibiotics_disease",2,"Green","no_antibiotics","disease","H",30,0
"238","2_Grey_no_antibiotics_disease",2,"Grey","no_antibiotics","disease","H",30,0
"239","2_Neon_no_antibiotics_disease",2,"Neon","no_antibiotics","disease","H",30,0
"240","2_Orange_no_antibiotics_disease",2,"Orange","no_antibiotics","disease","H",30,0
"241","2_Pink_no_antibiotics_disease",2,"Pink","no_antibiotics","disease","H",30,0
"242","2_Purple_no_antibiotics_disease",2,"Purple","no_antibiotics","disease","H",30,0
"243","2_Red_no_antibiotics_disease",2,"Red","no_antibiotics","disease","WBD",30,0
"244","2_Yellow_no_antibiotics_disease",2,"Yellow","no_antibiotics","disease","WBD",30,1
"245","3_Black_no_antibiotics_disease",3,"Black","no_antibiotics","disease","H",30,0
"246","3_Blue_no_antibiotics_disease",3,"Blue","no_antibiotics","disease","H",30,0
"247","3_Green_no_antibiotics_disease",3,"Green","no_antibiotics","disease","H",30,0
"248","3_Grey_no_antibiotics_disease",3,"Grey","no_antibiotics","disease","H",30,0
"249","3_Neon_no_antibiotics_disease",3,"Neon","no_antibiotics","disease","H",30,0
"250","3_Orange_no_antibiotics_disease",3,"Orange","no_antibiotics","disease","H",30,0
"251","3_Pink_no_antibiotics_disease",3,"Pink","no_antibiotics","disease","H",30,0
"252","3_Purple_no_antibiotics_disease",3,"Purple","no_antibiotics","disease","H",30,0
"253","3_Red_no_antibiotics_disease",3,"Red","no_antibiotics","disease","H",30,0
"254","3_Yellow_no_antibiotics_disease",3,"Yellow","no_antibiotics","disease","H",30,0
"255","4_Black_no_antibiotics_disease",4,"Black","no_antibiotics","disease","H",30,0
"256","4_Blue_no_antibiotics_disease",4,"Blue","no_antibiotics","disease","H",30,0
"257","4_Green_no_antibiotics_disease",4,"Green","no_antibiotics","disease","H",30,0
"258","4_Grey_no_antibiotics_disease",4,"Grey","no_antibiotics","disease","H",30,0
"259","4_Neon_no_antibiotics_disease",4,"Neon","no_antibiotics","disease","H",30,0
"260","4_Orange_no_antibiotics_disease",4,"Orange","no_antibiotics","disease","H",30,0
"261","4_Pink_no_antibiotics_disease",4,"Pink","no_antibiotics","disease","H",30,0
"262","4_Purple_no_antibiotics_disease",4,"Purple","no_antibiotics","disease","H",30,0
"263","4_Red_no_antibiotics_disease",4,"Red","no_antibiotics","disease","H",30,0
"264","4_Yellow_no_antibiotics_disease",4,"Yellow","no_antibiotics","disease","H",30,0
"265","5_Black_no_antibiotics_disease",5,"Black","no_antibiotics","disease","H",30,0
"266","5_Blue_no_antibiotics_disease",5,"Blue","no_antibiotics","disease","WBD",30,0
"267","5_Green_no_antibiotics_disease",5,"Green","no_antibiotics","disease","H",30,0
"268","5_Grey_no_antibiotics_disease",5,"Grey","no_antibiotics","disease","WBD",30,0
"269","5_Neon_no_antibiotics_disease",5,"Neon","no_antibiotics","disease","H",30,0
"270","5_Orange_no_antibiotics_disease",5,"Orange","no_antibiotics","disease","WBD",30,1
"271","5_Pink_no_antibiotics_disease",5,"Pink","no_antibiotics","disease","H",30,0
"272","5_Purple_no_antibiotics_disease",5,"Purple","no_antibiotics","disease","H",30,0
"273","5_Red_no_antibiotics_disease",5,"Red","no_antibiotics","disease","WBD",30,0
"274","5_Yellow_no_antibiotics_disease",5,"Yellow","no_antibiotics","disease","H",30,0
"275","1_Black_plus_antibiotics_healthy",1,"Black","plus_antibiotics","healthy","H",30,0
"276","1_Blue_plus_antibiotics_healthy",1,"Blue","plus_antibiotics","healthy","H",30,0
"277","1_Green_plus_antibiotics_healthy",1,"Green","plus_antibiotics","healthy","H",30,0
"278","1_Grey_plus_antibiotics_healthy",1,"Grey","plus_antibiotics","healthy","H",30,0
"279","1_Neon_plus_antibiotics_healthy",1,"Neon","plus_antibiotics","healthy","H",30,0
"280","1_Orange_plus_antibiotics_healthy",1,"Orange","plus_antibiotics","healthy","H",30,0
"281","1_Pink_plus_antibiotics_healthy",1,"Pink","plus_antibiotics","healthy","H",30,0
"282","1_Purple_plus_antibiotics_healthy",1,"Purple","plus_antibiotics","healthy","H",30,0
"283","1_Red_plus_antibiotics_healthy",1,"Red","plus_antibiotics","healthy","H",30,0
"284","1_Yellow_plus_antibiotics_healthy",1,"Yellow","plus_antibiotics","healthy","H",30,0
"285","2_Black_plus_antibiotics_healthy",2,"Black","plus_antibiotics","healthy","H",30,0
"286","2_Blue_plus_antibiotics_healthy",2,"Blue","plus_antibiotics","healthy","H",30,0
"287","2_Green_plus_antibiotics_healthy",2,"Green","plus_antibiotics","healthy","H",30,0
"288","2_Grey_plus_antibiotics_healthy",2,"Grey","plus_antibiotics","healthy","H",30,0
"289","2_Neon_plus_antibiotics_healthy",2,"Neon","plus_antibiotics","healthy","H",30,0
"290","2_Orange_plus_antibiotics_healthy",2,"Orange","plus_antibiotics","healthy","H",30,0
"291","2_Pink_plus_antibiotics_healthy",2,"Pink","plus_antibiotics","healthy","H",30,0
"292","2_Purple_plus_antibiotics_healthy",2,"Purple","plus_antibiotics","healthy","H",30,0
"293","2_Red_plus_antibiotics_healthy",2,"Red","plus_antibiotics","healthy","H",30,0
"294","2_Yellow_plus_antibiotics_healthy",2,"Yellow","plus_antibiotics","healthy","H",30,0
"295","3_Black_plus_antibiotics_healthy",3,"Black","plus_antibiotics","healthy","H",30,0
"296","3_Blue_plus_antibiotics_healthy",3,"Blue","plus_antibiotics","healthy","H",30,0
"297","3_Green_plus_antibiotics_healthy",3,"Green","plus_antibiotics","healthy","H",30,0
"298","3_Grey_plus_antibiotics_healthy",3,"Grey","plus_antibiotics","healthy","H",30,0
"299","3_Neon_plus_antibiotics_healthy",3,"Neon","plus_antibiotics","healthy","H",30,0
"300","3_Orange_plus_antibiotics_healthy",3,"Orange","plus_antibiotics","healthy","H",30,0
"301","3_Pink_plus_antibiotics_healthy",3,"Pink","plus_antibiotics","healthy","H",30,0
"302","3_Purple_plus_antibiotics_healthy",3,"Purple","plus_antibiotics","healthy","H",30,0
"303","3_Red_plus_antibiotics_healthy",3,"Red","plus_antibiotics","healthy","H",30,0
"304","3_Yellow_plus_antibiotics_healthy",3,"Yellow","plus_antibiotics","healthy","H",30,0
"305","4_Black_plus_antibiotics_healthy",4,"Black","plus_antibiotics","healthy","H",30,0
