,time,date,month.year,site,transect.number,meter,side,Acerv,WBDint,WBD,Timepoint,Timepoint1
27,Summer15,6/23/2015,15-Jun,HS,1,26,R,1,3,1,T1,T1: Summer15
28,Summer15,6/23/2015,15-Jun,HS,1,27,R,1,0,0,T1,T1: Summer15
29,Summer15,6/23/2015,15-Jun,HS,1,28,R,1,0,0,T1,T1: Summer15
30,Summer15,6/23/2015,15-Jun,HS,1,29,R,1,0,0,T1,T1: Summer15
31,Summer15,6/23/2015,15-Jun,HS,1,30,R,1,1,1,T1,T1: Summer15
32,Summer15,6/23/2015,15-Jun,HS,1,31,R,1,0,0,T1,T1: Summer15
33,Summer15,6/23/2015,15-Jun,HS,1,32,R,1,1,1,T1,T1: Summer15
34,Summer15,6/23/2015,15-Jun,HS,1,33,R,0,0,0,T1,T1: Summer15
35,Summer15,6/23/2015,15-Jun,HS,1,34,R,0,0,0,T1,T1: Summer15
36,Summer15,6/23/2015,15-Jun,Sebastian,1,0,R,0,0,0,T1,T1: Summer15
37,Summer15,6/23/2015,15-Jun,Sebastian,1,1,R,0,0,0,T1,T1: Summer15
38,Summer15,6/23/2015,15-Jun,Sebastian,1,2,R,0,0,0,T1,T1: Summer15
39,Summer15,6/23/2015,15-Jun,Sebastian,1,3,R,1,0,0,T1,T1: Summer15
40,Summer15,6/23/2015,15-Jun,Sebastian,1,4,R,1,0,0,T1,T1: Summer15
41,Summer15,6/23/2015,15-Jun,Sebastian,1,5,R,1,0,0,T1,T1: Summer15
42,Summer15,6/23/2015,15-Jun,Sebastian,1,6,R,1,0,0,T1,T1: Summer15
43,Summer15,6/23/2015,15-Jun,Sebastian,1,7,R,1,0,0,T1,T1: Summer15
44,Summer15,6/23/2015,15-Jun,Sebastian,1,8,R,1,0,0,T1,T1: Summer15
45,Summer15,6/23/2015,15-Jun,Sebastian,1,9,R,1,1,1,T1,T1: Summer15
46,Summer15,6/23/2015,15-Jun,Sebastian,1,10,R,1,0,0,T1,T1: Summer15
47,Summer15,6/23/2015,15-Jun,Sebastian,1,11,R,1,0,0,T1,T1: Summer15
48,Summer15,6/23/2015,15-Jun,Sebastian,1,12,R,1,0,0,T1,T1: Summer15
49,Summer15,6/23/2015,15-Jun,Sebastian,1,13,R,1,0,0,T1,T1: Summer15
50,Summer15,6/23/2015,15-Jun,Sebastian,1,14,R,1,0,0,T1,T1: Summer15
51,Summer15,6/23/2015,15-Jun,Sebastian,1,15,R,1,2,1,T1,T1: Summer15
52,Summer15,6/23/2015,15-Jun,Sebastian,1,16,R,1,0,0,T1,T1: Summer15
53,Summer15,6/23/2015,15-Jun,Sebastian,1,17,R,1,0,0,T1,T1: Summer15
54,Summer15,6/23/2015,15-Jun,Sebastian,1,18,R,1,0,0,T1,T1: Summer15
55,Summer15,6/23/2015,15-Jun,Sebastian,1,19,R,0,0,0,T1,T1: Summer15
56,Summer15,6/23/2015,15-Jun,Sebastian,1,20,R,0,0,0,T1,T1: Summer15
57,Summer15,6/23/2015,15-Jun,Sebastian,1,21,R,0,0,0,T1,T1: Summer15
58,Summer15,6/23/2015,15-Jun,Sebastian,1,22,R,1,0,0,T1,T1: Summer15
59,Summer15,6/23/2015,15-Jun,Sebastian,1,23,R,1,7,1,T1,T1: Summer15
60,Summer15,6/23/2015,15-Jun,Sebastian,1,24,R,1,0,0,T1,T1: Summer15
61,Summer15,6/23/2015,15-Jun,Sebastian,1,25,R,1,4,1,T1,T1: Summer15
62,Summer15,6/23/2015,15-Jun,Sebastian,1,26,R,1,2,1,T1,T1: Summer15
63,Summer15,6/23/2015,15-Jun,Sebastian,1,27,R,1,2,1,T1,T1: Summer15
64,Summer15,6/23/2015,15-Jun,Sebastian,1,28,R,1,2,1,T1,T1: Summer15
65,Summer15,6/23/2015,15-Jun,Sebastian,1,29,R,1,0,0,T1,T1: Summer15
66,Summer15,6/23/2015,15-Jun,Sebastian,1,30,R,1,0,0,T1,T1: Summer15
67,Summer15,6/23/2015,15-Jun,Sebastian,1,31,R,1,1,1,T1,T1: Summer15
68,Summer15,6/23/2015,15-Jun,Sebastian,1,32,R,1,1,1,T1,T1: Summer15
69,Summer15,6/23/2015,15-Jun,Sebastian,1,33,R,1,0,0,T1,T1: Summer15
70,Summer15,6/23/2015,15-Jun,Sebastian,1,34,R,0,0,0,T1,T1: Summer15
71,Summer15,6/23/2015,15-Jun,Sebastian,1,35,R,0,0,0,T1,T1: Summer15
72,Summer15,6/23/2015,15-Jun,Sebastian,1,36,R,0,0,0,T1,T1: Summer15
73,Summer15,6/23/2015,15-Jun,Sebastian,1,37,R,0,0,0,T1,T1: Summer15
74,Summer15,6/23/2015,15-Jun,Sebastian,1,38,R,1,0,0,T1,T1: Summer15
75,Summer15,6/23/2015,15-Jun,Sebastian,1,39,R,0,0,0,T1,T1: Summer15
76,Summer15,6/23/2015,15-Jun,Sebastian,1,40,R,0,0,0,T1,T1: Summer15
77,Summer15,6/23/2015,15-Jun,CK4,1,0,R,1,0,0,T1,T1: Summer15
78,Summer15,6/23/2015,15-Jun,CK4,1,1,R,1,0,0,T1,T1: Summer15
79,Summer15,6/23/2015,15-Jun,CK4,1,2,R,0,0,0,T1,T1: Summer15
80,Summer15,6/23/2015,15-Jun,CK4,1,3,R,1,0,0,T1,T1: Summer15
81,Summer15,6/23/2015,15-Jun,CK4,1,4,R,1,0,0,T1,T1: Summer15
82,Summer15,6/23/2015,15-Jun,CK4,1,5,R,0,0,0,T1,T1: Summer15
83,Summer15,6/23/2015,15-Jun,CK4,1,6,R,0,0,0,T1,T1: Summer15
84,Summer15,6/23/2015,15-Jun,CK4,1,7,R,1,0,0,T1,T1: Summer15
85,Summer15,6/23/2015,15-Jun,CK4,1,8,R,1,0,0,T1,T1: Summer15
86,Summer15,6/23/2015,15-Jun,CK4,1,9,R,1,0,0,T1,T1: Summer15
87,Summer15,6/23/2015,15-Jun,CK4,1,10,R,1,0,0,T1,T1: Summer15
88,Summer15,6/23/2015,15-Jun,CK4,1,11,R,1,0,0,T1,T1: Summer15
89,Summer15,6/23/2015,15-Jun,CK4,1,12,R,1,1,1,T1,T1: Summer15
90,Summer15,6/23/2015,15-Jun,CK4,1,13,R,1,3,1,T1,T1: Summer15
91,Summer15,6/23/2015,15-Jun,CK4,1,14,R,1,0,0,T1,T1: Summer15
92,Summer15,6/23/2015,15-Jun,CK4,1,15,R,1,2,1,T1,T1: Summer15
93,Summer15,6/23/2015,15-Jun,CK4,1,16,R,1,2,1,T1,T1: Summer15
94,Summer15,6/23/2015,15-Jun,CK4,1,17,R,1,0,0,T1,T1: Summer15
95,Summer15,6/23/2015,15-Jun,CK4,1,18,R,1,0,0,T1,T1: Summer15
96,Summer15,6/23/2015,15-Jun,CK4,1,19,R,1,0,0,T1,T1: Summer15
97,Summer15,6/23/2015,15-Jun,CK4,1,20,R,1,1,1,T1,T1: Summer15
98,Summer15,6/23/2015,15-Jun,CK4,1,21,R,1,1,1,T1,T1: Summer15
99,Summer15,6/23/2015,15-Jun,CK4,1,22,R,1,2,1,T1,T1: Summer15
100,Summer15,6/23/2015,15-Jun,CK4,1,23,R,1,0,0,T1,T1: Summer15
101,Summer15,6/23/2015,15-Jun,CK4,1,24,R,1,3,1,T1,T1: Summer15
102,Summer15,6/23/2015,15-Jun,CK4,1,25,R,1,0,0,T1,T1: Summer15
103,Summer15,6/23/2015,15-Jun,CK4,1,26,R,1,0,0,T1,T1: Summer15
104,Summer15,6/23/2015,15-Jun,CK4,1,27,R,1,5,1,T1,T1: Summer15
105,Summer15,6/23/2015,15-Jun,CK4,1,28,R,1,0,0,T1,T1: Summer15
106,Summer15,6/23/2015,15-Jun,CK4,1,29,R,1,0,0,T1,T1: Summer15
107,Summer15,6/23/2015,15-Jun,CK4,1,30,R,1,1,1,T1,T1: Summer15
108,Summer15,6/23/2015,15-Jun,CK4,1,31,R,1,0,0,T1,T1: Summer15
109,Summer15,6/23/2015,15-Jun,CK4,1,32,R,1,0,0,T1,T1: Summer15
110,Summer15,6/23/2015,15-Jun,CK4,1,33,R,1,0,0,T1,T1: Summer15
111,Summer15,6/23/2015,15-Jun,CK4,1,34,R,0,0,0,T1,T1: Summer15
112,Summer15,6/23/2015,15-Jun,CK4,1,35,R,0,0,0,T1,T1: Summer15
113,Summer15,6/23/2015,15-Jun,CK4,1,36,R,0,0,0,T1,T1: Summer15
114,Summer15,6/23/2015,15-Jun,CK4,1,37,R,0,0,0,T1,T1: Summer15
115,Summer15,6/23/2015,15-Jun,CK4,1,38,R,0,0,0,T1,T1: Summer15
116,Summer15,6/23/2015,15-Jun,CK4,1,39,R,1,0,0,T1,T1: Summer15
117,Summer15,6/23/2015,15-Jun,CK4,1,40,R,1,0,0,T1,T1: Summer15
118,Summer15,6/23/2015,15-Jun,CK4,1,41,R,1,0,0,T1,T1: Summer15
119,Summer15,6/23/2015,15-Jun,CK4,1,42,R,1,0,0,T1,T1: Summer15
120,Summer15,6/23/2015,15-Jun,CK4,1,43,R,1,0,0,T1,T1: Summer15
121,Summer15,6/23/2015,15-Jun,CK4,1,44,R,1,0,0,T1,T1: Summer15
122,Summer15,6/24/2015,15-Jun,CK14,1,0,R,1,0,0,T1,T1: Summer15
123,Summer15,6/24/2015,15-Jun,CK14,1,1,R,1,0,0,T1,T1: Summer15
124,Summer15,6/24/2015,15-Jun,CK14,1,2,R,1,0,0,T1,T1: Summer15
125,Summer15,6/24/2015,15-Jun,CK14,1,3,R,1,3,1,T1,T1: Summer15
126,Summer15,6/24/2015,15-Jun,CK14,1,4,R,1,0,0,T1,T1: Summer15
127,Summer15,6/24/2015,15-Jun,CK14,1,5,R,1,4,1,T1,T1: Summer15
128,Summer15,6/24/2015,15-Jun,CK14,1,6,R,1,1,1,T1,T1: Summer15
129,Summer15,6/24/2015,15-Jun,CK14,1,7,R,1,1,1,T1,T1: Summer15
130,Summer15,6/24/2015,15-Jun,CK14,1,8,R,1,1,1,T1,T1: Summer15
131,Summer15,6/24/2015,15-Jun,CK14,1,9,R,1,0,0,T1,T1: Summer15
132,Summer15,6/24/2015,15-Jun,CK14,1,10,R,1,0,0,T1,T1: Summer15
133,Summer15,6/24/2015,15-Jun,CK14,1,11,R,1,0,0,T1,T1: Summer15
134,Summer15,6/24/2015,15-Jun,CK14,1,12,R,1,0,0,T1,T1: Summer15
135,Summer15,6/24/2015,15-Jun,CK14,1,13,R,1,0,0,T1,T1: Summer15
136,Summer15,6/24/2015,15-Jun,CK14,1,14,R,1,0,0,T1,T1: Summer15
137,Summer15,6/24/2015,15-Jun,CK14,1,15,R,1,0,0,T1,T1: Summer15
138,Summer15,6/24/2015,15-Jun,CK14,1,16,R,1,0,0,T1,T1: Summer15
139,Summer15,6/24/2015,15-Jun,CK14,1,17,R,1,0,0,T1,T1: Summer15
140,Summer15,6/24/2015,15-Jun,CK14,1,18,R,1,0,0,T1,T1: Summer15
141,Summer15,6/24/2015,15-Jun,CK14,1,19,R,1,0,0,T1,T1: Summer15
142,Summer15,6/24/2015,15-Jun,CK14,1,20,R,1,0,0,T1,T1: Summer15
143,Summer15,6/24/2015,15-Jun,CK14,1,21,R,1,0,0,T1,T1: Summer15
144,Summer15,6/24/2015,15-Jun,CK14,1,22,R,0,0,0,T1,T1: Summer15
145,Summer15,6/24/2015,15-Jun,CK14,1,23,R,0,0,0,T1,T1: Summer15
146,Summer15,6/24/2015,15-Jun,CK14,1,24,R,0,0,0,T1,T1: Summer15
147,Summer15,6/24/2015,15-Jun,CK14,1,25,R,0,0,0,T1,T1: Summer15
148,Summer15,6/24/2015,15-Jun,CK14,1,26,R,1,0,0,T1,T1: Summer15
149,Summer15,6/24/2015,15-Jun,CK14,1,27,R,1,0,0,T1,T1: Summer15
150,Summer15,6/24/2015,15-Jun,CK14,1,28,R,1,0,0,T1,T1: Summer15
151,Summer15,6/24/2015,15-Jun,CK14,1,29,R,1,0,0,T1,T1: Summer15
152,Summer15,6/24/2015,15-Jun,CK14,1,30,R,1,0,0,T1,T1: Summer15
153,Summer15,6/24/2015,15-Jun,CK14,1,31,R,1,0,0,T1,T1: Summer15
154,Summer15,6/24/2015,15-Jun,CK14,1,32,R,1,0,0,T1,T1: Summer15
155,Summer15,6/24/2015,15-Jun,CK14,1,33,R,1,0,0,T1,T1: Summer15
156,Summer15,6/24/2015,15-Jun,CK14,1,34,R,1,0,0,T1,T1: Summer15
157,Summer15,6/24/2015,15-Jun,CK14,1,35,R,0,0,0,T1,T1: Summer15
158,Summer15,6/24/2015,15-Jun,CK14,1,36,R,1,0,0,T1,T1: Summer15
159,Summer15,6/24/2015,15-Jun,CK14,1,37,R,1,0,0,T1,T1: Summer15
160,Summer15,6/24/2015,15-Jun,CK14,1,38,R,1,0,0,T1,T1: Summer15
161,Summer15,6/24/2015,15-Jun,CK14,1,39,R,1,0,0,T1,T1: Summer15
162,Summer15,6/24/2015,15-Jun,CK14,1,40,R,1,2,1,T1,T1: Summer15
163,Summer15,6/24/2015,15-Jun,CK14,1,41,R,1,0,0,T1,T1: Summer15
164,Summer15,6/24/2015,15-Jun,CK14,1,42,R,1,1,1,T1,T1: Summer15
165,Summer15,6/24/2015,15-Jun,CK14,1,43,R,1,0,0,T1,T1: Summer15
166,Summer15,6/24/2015,15-Jun,CK14,1,44,R,1,2,1,T1,T1: Summer15
167,Summer15,6/24/2015,15-Jun,CK14,1,45,R,1,0,0,T1,T1: Summer15
168,Summer15,6/24/2015,15-Jun,CK14,1,46,R,1,1,1,T1,T1: Summer15
169,Summer15,6/24/2015,15-Jun,CK14,1,47,R,1,0,0,T1,T1: Summer15
170,Summer15,6/24/2015,15-Jun,CK14,1,48,R,1,0,0,T1,T1: Summer15
171,Summer15,6/24/2015,15-Jun,CK14,1,49,R,1,0,0,T1,T1: Summer15
172,Summer15,6/25/2015,15-Jun,Moguls,1,0,R,0,0,0,T1,T1: Summer15
173,Summer15,6/25/2015,15-Jun,Moguls,1,1,R,1,0,0,T1,T1: Summer15
174,Summer15,6/25/2015,15-Jun,Moguls,1,2,R,1,2,1,T1,T1: Summer15
175,Summer15,6/25/2015,15-Jun,Moguls,1,3,R,1,0,0,T1,T1: Summer15
176,Summer15,6/25/2015,15-Jun,Moguls,1,4,R,1,0,0,T1,T1: Summer15
177,Summer15,6/25/2015,15-Jun,Moguls,1,5,R,1,0,0,T1,T1: Summer15
178,Summer15,6/25/2015,15-Jun,Moguls,1,6,R,1,0,0,T1,T1: Summer15
179,Summer15,6/25/2015,15-Jun,Moguls,1,7,R,1,0,0,T1,T1: Summer15
180,Summer15,6/25/2015,15-Jun,Moguls,1,8,R,1,0,0,T1,T1: Summer15
181,Summer15,6/25/2015,15-Jun,Moguls,1,9,R,1,0,0,T1,T1: Summer15
182,Summer15,6/25/2015,15-Jun,Moguls,1,10,R,1,0,0,T1,T1: Summer15
183,Summer15,6/25/2015,15-Jun,Moguls,1,11,R,0,0,0,T1,T1: Summer15
184,Summer15,6/25/2015,15-Jun,Moguls,1,12,R,0,0,0,T1,T1: Summer15
185,Summer15,6/25/2015,15-Jun,Moguls,1,13,R,1,0,0,T1,T1: Summer15
186,Summer15,6/25/2015,15-Jun,Moguls,1,14,R,1,0,0,T1,T1: Summer15
187,Summer15,6/25/2015,15-Jun,Moguls,1,15,R,1,0,0,T1,T1: Summer15
188,Summer15,6/25/2015,15-Jun,Moguls,1,16,R,1,0,0,T1,T1: Summer15
189,Summer15,6/25/2015,15-Jun,Moguls,1,17,R,1,0,0,T1,T1: Summer15
190,Summer15,6/25/2015,15-Jun,Moguls,1,18,R,1,0,0,T1,T1: Summer15
191,Summer15,6/25/2015,15-Jun,Moguls,1,19,R,0,0,0,T1,T1: Summer15
192,Summer15,6/25/2015,15-Jun,Moguls,1,20,R,0,0,0,T1,T1: Summer15
193,Summer15,6/25/2015,15-Jun,Moguls,1,21,R,1,0,0,T1,T1: Summer15
194,Summer15,6/25/2015,15-Jun,Moguls,1,22,R,1,1,1,T1,T1: Summer15
195,Summer15,6/25/2015,15-Jun,Moguls,1,23,R,1,0,0,T1,T1: Summer15
196,Summer15,6/25/2015,15-Jun,Moguls,1,24,R,1,0,0,T1,T1: Summer15
197,Summer15,6/25/2015,15-Jun,Moguls,1,25,R,1,0,0,T1,T1: Summer15
198,Summer15,6/25/2015,15-Jun,Moguls,1,26,R,1,0,0,T1,T1: Summer15
199,Summer15,6/25/2015,15-Jun,Moguls,1,27,R,1,0,0,T1,T1: Summer15
200,Summer15,6/25/2015,15-Jun,Moguls,1,28,R,0,0,0,T1,T1: Summer15
201,Summer15,6/25/2015,15-Jun,Moguls,1,29,R,0,0,0,T1,T1: Summer15
202,Summer15,6/25/2015,15-Jun,Moguls,1,30,R,1,1,1,T1,T1: Summer15
203,Summer15,6/25/2015,15-Jun,Moguls,1,31,R,0,0,0,T1,T1: Summer15
204,Summer15,6/25/2015,15-Jun,Moguls,1,32,R,1,0,0,T1,T1: Summer15
205,Summer15,6/25/2015,15-Jun,Moguls,1,33,R,0,0,0,T1,T1: Summer15
206,Summer15,6/25/2015,15-Jun,Moguls,1,34,R,1,0,0,T1,T1: Summer15
207,Summer15,6/25/2015,15-Jun,Moguls,1,35,R,1,0,0,T1,T1: Summer15
208,Summer15,6/25/2015,15-Jun,Moguls,1,36,R,1,1,1,T1,T1: Summer15
209,Summer15,6/25/2015,15-Jun,Moguls,1,37,R,1,0,0,T1,T1: Summer15
210,Summer15,6/25/2015,15-Jun,Moguls,1,38,R,1,0,0,T1,T1: Summer15
211,Summer15,6/25/2015,15-Jun,Moguls,1,39,R,1,0,0,T1,T1: Summer15
212,Summer15,6/25/2015,15-Jun,Moguls,1,40,R,0,0,0,T1,T1: Summer15
213,Summer15,6/25/2015,15-Jun,Moguls,1,41,R,0,0,0,T1,T1: Summer15
214,Summer15,6/25/2015,15-Jun,Moguls,1,42,R,0,0,0,T1,T1: Summer15
215,Summer15,6/25/2015,15-Jun,Moguls,1,43,R,0,0,0,T1,T1: Summer15
216,Summer15,6/25/2015,15-Jun,Moguls,1,44,R,0,0,0,T1,T1: Summer15
217,Summer15,6/25/2015,15-Jun,Moguls,1,45,R,0,0,0,T1,T1: Summer15
218,Summer15,6/25/2015,15-Jun,Moguls,1,46,R,0,0,0,T1,T1: Summer15
219,Summer15,6/25/2015,15-Jun,Moguls,1,47,R,0,0,0,T1,T1: Summer15
220,Summer15,6/25/2015,15-Jun,Moguls,1,48,R,0,0,0,T1,T1: Summer15
221,Summer15,6/25/2015,15-Jun,Moguls,1,49,R,0,0,0,T1,T1: Summer15
222,Summer15,6/23/2015,15-Jun,HS,1,0,L,0,0,0,T1,T1: Summer15
223,Summer15,6/23/2015,15-Jun,HS,1,1,L,1,0,0,T1,T1: Summer15
224,Summer15,6/23/2015,15-Jun,HS,1,2,L,1,1,1,T1,T1: Summer15
225,Summer15,6/23/2015,15-Jun,HS,1,3,L,1,0,0,T1,T1: Summer15
226,Summer15,6/23/2015,15-Jun,HS,1,4,L,1,1,1,T1,T1: Summer15
227,Summer15,6/23/2015,15-Jun,HS,1,5,L,1,0,0,T1,T1: Summer15
228,Summer15,6/23/2015,15-Jun,HS,1,6,L,1,2,1,T1,T1: Summer15
229,Summer15,6/23/2015,15-Jun,HS,1,7,L,1,0,0,T1,T1: Summer15
230,Summer15,6/23/2015,15-Jun,HS,1,8,L,1,0,0,T1,T1: Summer15
231,Summer15,6/23/2015,15-Jun,HS,1,9,L,1,0,0,T1,T1: Summer15
232,Summer15,6/23/2015,15-Jun,HS,1,10,L,1,0,0,T1,T1: Summer15
233,Summer15,6/23/2015,15-Jun,HS,1,11,L,1,2,1,T1,T1: Summer15
234,Summer15,6/23/2015,15-Jun,HS,1,12,L,1,0,0,T1,T1: Summer15
235,Summer15,6/23/2015,15-Jun,HS,1,13,L,1,0,0,T1,T1: Summer15
236,Summer15,6/23/2015,15-Jun,HS,1,14,L,1,0,0,T1,T1: Summer15
237,Summer15,6/23/2015,15-Jun,HS,1,15,L,1,2,1,T1,T1: Summer15
238,Summer15,6/23/2015,15-Jun,HS,1,16,L,1,2,1,T1,T1: Summer15
239,Summer15,6/23/2015,15-Jun,HS,1,17,L,1,0,0,T1,T1: Summer15
240,Summer15,6/23/2015,15-Jun,HS,1,18,L,1,0,0,T1,T1: Summer15
241,Summer15,6/23/2015,15-Jun,HS,1,19,L,1,1,1,T1,T1: Summer15
242,Summer15,6/23/2015,15-Jun,HS,1,20,L,1,0,0,T1,T1: Summer15
243,Summer15,6/23/2015,15-Jun,HS,1,21,L,1,0,0,T1,T1: Summer15
244,Summer15,6/23/2015,15-Jun,HS,1,22,L,1,0,0,T1,T1: Summer15
245,Summer15,6/23/2015,15-Jun,HS,1,23,L,1,0,0,T1,T1: Summer15
246,Summer15,6/23/2015,15-Jun,HS,1,24,L,1,1,1,T1,T1: Summer15
247,Summer15,6/23/2015,15-Jun,HS,1,25,L,1,0,0,T1,T1: Summer15
248,Summer15,6/23/2015,15-Jun,HS,1,26,L,1,2,1,T1,T1: Summer15
249,Summer15,6/23/2015,15-Jun,HS,1,27,L,1,3,1,T1,T1: Summer15
250,Summer15,6/23/2015,15-Jun,HS,1,28,L,1,0,0,T1,T1: Summer15
251,Summer15,6/23/2015,15-Jun,HS,1,29,L,1,0,0,T1,T1: Summer15
252,Summer15,6/23/2015,15-Jun,HS,1,30,L,1,0,0,T1,T1: Summer15
253,Summer15,6/23/2015,15-Jun,HS,1,31,L,1,1,1,T1,T1: Summer15
254,Summer15,6/23/2015,15-Jun,HS,1,32,L,1,0,0,T1,T1: Summer15
255,Summer15,6/23/2015,15-Jun,HS,1,33,L,0,0,0,T1,T1: Summer15
256,Summer15,6/23/2015,15-Jun,HS,1,34,L,0,0,0,T1,T1: Summer15
257,Summer15,6/23/2015,15-Jun,Sebastian,1,0,L,0,0,0,T1,T1: Summer15
258,Summer15,6/23/2015,15-Jun,Sebastian,1,1,L,0,0,0,T1,T1: Summer15
259,Summer15,6/23/2015,15-Jun,Sebastian,1,2,L,0,0,0,T1,T1: Summer15
260,Summer15,6/23/2015,15-Jun,Sebastian,1,3,L,1,0,0,T1,T1: Summer15
261,Summer15,6/23/2015,15-Jun,Sebastian,1,4,L,1,0,0,T1,T1: Summer15
262,Summer15,6/23/2015,15-Jun,Sebastian,1,5,L,1,0,0,T1,T1: Summer15
263,Summer15,6/23/2015,15-Jun,Sebastian,1,6,L,1,0,0,T1,T1: Summer15
264,Summer15,6/23/2015,15-Jun,Sebastian,1,7,L,1,0,0,T1,T1: Summer15
265,Summer15,6/23/2015,15-Jun,Sebastian,1,8,L,1,0,0,T1,T1: Summer15
266,Summer15,6/23/2015,15-Jun,Sebastian,1,9,L,1,0,0,T1,T1: Summer15
267,Summer15,6/23/2015,15-Jun,Sebastian,1,10,L,1,0,0,T1,T1: Summer15
268,Summer15,6/23/2015,15-Jun,Sebastian,1,11,L,1,1,1,T1,T1: Summer15
269,Summer15,6/23/2015,15-Jun,Sebastian,1,12,L,1,1,1,T1,T1: Summer15
270,Summer15,6/23/2015,15-Jun,Sebastian,1,13,L,1,0,0,T1,T1: Summer15
271,Summer15,6/23/2015,15-Jun,Sebastian,1,14,L,1,0,0,T1,T1: Summer15
272,Summer15,6/23/2015,15-Jun,Sebastian,1,15,L,1,0,0,T1,T1: Summer15
273,Summer15,6/23/2015,15-Jun,Sebastian,1,16,L,1,0,0,T1,T1: Summer15
274,Summer15,6/23/2015,15-Jun,Sebastian,1,17,L,1,0,0,T1,T1: Summer15
275,Summer15,6/23/2015,15-Jun,Sebastian,1,18,L,1,0,0,T1,T1: Summer15
276,Summer15,6/23/2015,15-Jun,Sebastian,1,19,L,0,0,0,T1,T1: Summer15
277,Summer15,6/23/2015,15-Jun,Sebastian,1,20,L,0,0,0,T1,T1: Summer15
278,Summer15,6/23/2015,15-Jun,Sebastian,1,21,L,0,0,0,T1,T1: Summer15
279,Summer15,6/23/2015,15-Jun,Sebastian,1,22,L,0,0,0,T1,T1: Summer15
280,Summer15,6/23/2015,15-Jun,Sebastian,1,23,L,1,2,1,T1,T1: Summer15
281,Summer15,6/23/2015,15-Jun,Sebastian,1,24,L,1,0,0,T1,T1: Summer15
282,Summer15,6/23/2015,15-Jun,Sebastian,1,25,L,1,2,1,T1,T1: Summer15
283,Summer15,6/23/2015,15-Jun,Sebastian,1,26,L,1,1,1,T1,T1: Summer15
284,Summer15,6/23/2015,15-Jun,Sebastian,1,27,L,1,1,1,T1,T1: Summer15
285,Summer15,6/23/2015,15-Jun,Sebastian,1,28,L,1,0,0,T1,T1: Summer15
286,Summer15,6/23/2015,15-Jun,Sebastian,1,29,L,1,0,0,T1,T1: Summer15
287,Summer15,6/23/2015,15-Jun,Sebastian,1,30,L,1,2,1,T1,T1: Summer15
288,Summer15,6/23/2015,15-Jun,Sebastian,1,31,L,1,2,1,T1,T1: Summer15
289,Summer15,6/23/2015,15-Jun,Sebastian,1,32,L,1,0,0,T1,T1: Summer15
290,Summer15,6/23/2015,15-Jun,Sebastian,1,33,L,0,0,0,T1,T1: Summer15
291,Summer15,6/23/2015,15-Jun,Sebastian,1,34,L,0,0,0,T1,T1: Summer15
292,Summer15,6/23/2015,15-Jun,Sebastian,1,35,L,0,0,0,T1,T1: Summer15
