asv_id,Disease Associated,Healthy Associated,consistent
ASV1124,FALSE,FALSE,FALSE
ASV562,TRUE,FALSE,FALSE
ASV532,FALSE,TRUE,FALSE
ASV670,FALSE,TRUE,FALSE
ASV2244,FALSE,FALSE,FALSE
ASV690,FALSE,FALSE,FALSE
ASV206,FALSE,TRUE,FALSE
ASV103,FALSE,TRUE,FALSE
ASV1611,FALSE,TRUE,FALSE
ASV374,FALSE,TRUE,FALSE
ASV92,TRUE,FALSE,FALSE
ASV368,TRUE,FALSE,TRUE
ASV22,FALSE,TRUE,FALSE
ASV49,FALSE,TRUE,FALSE
ASV621,FALSE,FALSE,FALSE
ASV80,FALSE,TRUE,FALSE
ASV279,TRUE,FALSE,FALSE
ASV1085,FALSE,FALSE,FALSE
ASV120,FALSE,TRUE,FALSE
ASV1360,FALSE,TRUE,FALSE
ASV1468,FALSE,TRUE,FALSE
ASV1590,FALSE,TRUE,FALSE
ASV1684,TRUE,FALSE,TRUE
ASV184,FALSE,FALSE,FALSE
ASV2060,TRUE,FALSE,FALSE
ASV2350,FALSE,TRUE,FALSE
ASV2446,FALSE,TRUE,FALSE
ASV265,TRUE,FALSE,TRUE
ASV316,FALSE,TRUE,FALSE
ASV414,FALSE,TRUE,FALSE
ASV515,FALSE,TRUE,FALSE
ASV656,FALSE,TRUE,FALSE
ASV755,FALSE,TRUE,FALSE
ASV140,FALSE,TRUE,FALSE
ASV196,FALSE,TRUE,FALSE
ASV551,FALSE,TRUE,FALSE
ASV865,TRUE,FALSE,FALSE
ASV939,FALSE,TRUE,FALSE
ASV955,FALSE,FALSE,FALSE
ASV8,TRUE,FALSE,TRUE
